Date,ResolvedOn,IC,RankPersistence,Year
2026-04-02,2026-04-10,0.020689655172413793,0.971078976640712,2026
2026-04-10,2026-04-17,-0.41846496106785314,0.9230255839822022,2026
2026-04-17,2026-04-24,0.3210233592880979,0.9270300333704115,2026
2026-04-24,2026-05-01,-0.23159065628476083,0.9038932146829811,2026
2026-05-01,2026-05-08,-0.0731924360400445,0.9381535038932147,2026
2026-05-08,2026-05-15,0.260511679644049,0.8869855394883204,2026
2026-05-15,2026-05-22,-0.05117365700817221,0.9087875417130145,2026
2026-05-22,2026-05-29,0.09454949944382647,0.9510567296996663,2026
2026-05-29,2026-06-05,-0.028253615127919914,0.9555061179087875,2026
2026-06-05,2026-06-12,-0.13147942157953282,0.9194660734149054,2026
2026-06-12,2026-06-18,-0.2729699666295884,0.9377085650723025,2026
2026-06-18,2026-06-26,0.20355951056729701,0.9452725250278088,2026
2026-06-26,2026-07-02,0.17330367074527253,0.9132369299221357,2026
2026-07-02,2026-07-10,0.12169076751946609,0.9163515016685205,2026
2026-07-10,2026-07-17,0.4002224694104561,0.9038932146829811,2026
2026-07-17,2026-07-24,0.17997775305895441,0.9621802002224694,2026
2026-07-24,2026-07-30,-0.2649610678531702,0.9795328142380423,2026
2026-07-30,2026-08-07,0.04872080088987764,0.9305895439377085,2026
2026-08-07,2026-08-12,0.034482758620689655,0.9003337041156841,2026
